dlga_start:close_window|Aviso: esta linha nunca é exibida. É apenas para armazenar variáveis de conversação.
dlga_member_question_2:member_kingsupport_1|Suponho que sabe que eu aspiro ser {o rei/a rainha} desta terra, certo?
dlga_member_question_2:member_intelgathering_1|Você tem contatos que possam ser úteis em nosso favor?
dlga_member_question_2:member_fief_grant_1|Estaria interessado em adquirir um feudo?
dlga_member_morale:do_member_trade|{s21}
dlga_member_background_recap:member_background_recap_2|{s5}
dlga_member_background_recap_2:member_background_recap_3|{s5}
dlga_member_background_recap_3:do_member_trade|Então logo em seguida eu me juntei ao seu grupo.
dlga_do_member_view_char:member_talk|Algo mais?
dlga_member_kingsupport_1:do_member_trade|Hmm... Sim. Recebi esta informação.
dlga_member_kingsupport_1:member_kingsupport_1a|{s21}
dlga_member_kingsupport_1a:member_kingsupport_2|Então você apoia minha causa?
dlga_member_kingsupport_1a:do_member_trade|Muito bem. Levarei isto em conta.
dlga_member_kingsupport_2:do_member_trade|Eu gostaria, {s21}. Além disso, tenho uma proposta que poderia ajudá-lo a alcançar o trono. Porém recentemente você enviou {s22} em uma missão similar. Talvez seja melhor esperarmos um pouco para evitar chamar muita atenção sobre nossas intenções.
dlga_member_kingsupport_2:member_kingsupport_2a|{s21}
dlga_member_kingsupport_2a:member_kingsupport_3|{s21}
dlga_member_kingsupport_2a:do_member_trade|{s21}
dlga_member_kingsupport_3:member_kingsupport_3a|{s21}
dlga_member_kingsupport_3a:member_kingsupport_4|Muito bem. Faça isso.
dlga_member_kingsupport_3a:do_member_trade|Pensando melhor, fique comigo um pouco mais.
dlga_member_kingsupport_4:close_window|Então adeus, {s21}, embora em breve nos veremos novamente.
dlga_member_intelgathering_1:member_intelgathering_3|{s21}
dlga_member_intelgathering_3:member_intelgathering_3|Naturalmente, poucas pessoas devem saber que isso é possível. Se você quiser obter informações, ou perguntar-me algo, não envie nenhum mensageiro. Venha a mim pessoalmente... mesmo que isso signifique passar pelos portões disfarçado.
dlga_member_intelgathering_3:member_intelgathering_4|Excelente ideia... Vá em frente.
dlga_member_intelgathering_3:do_member_trade|Na verdade, é melhor ficar longe por enquanto.
dlga_member_intelgathering_4:close_window|Perfeito. Já deverei ter algo para reportá-lo dentro de cinco dias. Agora adeus, {s21}, nos vemos em breve.
dlga_merchant_quest_4_start:close_window|Chegou a hora, rapazes! Para cima deles!
dlga_start:relative_saved_1a|Obrigado! Sou muito grato, {milorde/milady}, por ter me resgatado desse ninho de demônios. Por acaso o meu irmão em {s9} deu-lhe a localização?
dlga_relative_saved_1a:close_window|Sim, eu prometi que lhe encontraria. Agora sugiro que volte para a sua família o mais rápido possível... e tenha cuidado no caminho.
dlga_start:bandit_leader_1a|Ai, perdoe-me! Poupe-me minha vida! Deixe-me ir, e seguirei para bem longe daqui, aprenderei um ofício digno e nunca mais voltará a saber nada de mim!
dlga_bandit_leader_1a:bandit_leader_1b|Eu poupo sua vida. Mas em troca, quero informações. Você e seus companheiros sequestraram o irmão de um importante mercador da cidade. Diga-me onde o está escondendo, e se me der sua palavra de que deixará de trazer preocupações à boa gente desta terra, o libertarei.
dlga_start:looter_leader_1|O que você quer?
dlga_looter_leader_1:looter_leader_2|Estava procurando por você. Diga-me onde você mantém os prisioneiros e o deixarei ir.
dlga_looter_leader_1:close_window|Nada. Deixarei vocês em paz.
dlga_looter_leader_2:looter_leader_3|Há! Os presos só sairão vivos se você pagar o resgate. Trouxe algum dinheiro?
dlga_looter_leader_3:close_window|Não, mas trouxe aço de sobra.
dlga_bandit_leader_1b:close_window|Oh, bendit{o/a} seja, {milorde/milady}! Bendit{o/a} seja. Nós não causamos nenhum dano ao rapaz. Temos mantido ele escondido em nossa guarida, perto de {s9}. Descreverei detalhadamente para você as imediações da área, para que seja impossível confundir...
dlga_start:rescue_prisoner_succeed_2|{playername}, você o salvou! Serei sempre grato por ter resgatado meu {s11}. Por favor, aceite isso como uma compensação por seu ato nobre.
dlga_rescue_prisoner_succeed_2:lord_pretalk|É sempre uma honra servi-lo, {s65}.
dlga_start_up_quest_1_next:close_window|Você está bem? Bom... suponho que está viv{o/a}, depois de tudo. No entanto, não estou certo de que podemos dizer o mesmo do outro indivíduo. Agora há um ladrão a menos causando problemas nas ruas de nossa cidade durante a noite, embora o Céu sabe que ele não será o último... De qualquer forma, talvez você possa me ajudar com alguma coisa. Falaremos um pouco mais sobre isso lá dentro. Aqui fora pode ter alguém nos escutando.
dlga_start:merchant_quest_2a|Excelente trabalho, {playername}! Você conseguiu reunir homens suficientes para eliminar os bandidos. Agora os viajantes que chegarem a {s9} não irão reclamar que há um pequeno grupo de ladrões espreitando do lado de fora da cidade. Eu suspeito que sejam todos do mesmo bando que levou meu irmão. Persiga-os e derrote-os, para ver se conseguimos descobrir a localização do covil do grupo!
dlga_start:merchant_quest_3a|Então, quer dizer que você já descobriu onde esconderam meu irmão? Excelente trabalho! Eu sempre me vangloriei dos meus bons olhos para os homens de bem, e você parece ser {um homem/uma mulher} capaz de fazer seus deveres... em todos os momentos. Agora vá, e salve o meu irmão!
dlga_start:merchant_quest_3b|Bem... Meu irmão está a salvo em casa. Porém, não tenho certeza do que fazer com ele. Talvez o envie para uma universidade longe de Calradia. Desta forma, se o golpearem na cabeça em alguma briga de rua, ninguém poderá dizer que foi minha culpa. Mas isso não é problema seu. Aqui está o resto da sua recompensa. Ela é bem merecida.
dlga_merchant_quest_3b:merchant_quest_4a|O dinheiro é bem-vindo, e fico contente em tê-lo servido.
dlga_merchant_quest_4a:merchant_quest_4b|Ótimo! Agora... Está interessado em novas tarefas?
dlga_merchant_quest_4b:merchant_quest_4b1|Possivelmente. Do que precisa?
dlga_merchant_quest_4b1:merchant_quest_4b2|Lembra quando disse que os bandidos tinham um aliado dentro destes muros? Creio que sei quem ele é... nada mais, nada menos que o capitão da guarda. Há alguns meses, este capitão, ao ver a quantidade de lucro que os mercadores conseguiram com o comércio transfronteiriço, decidiu pedir emprestado algum dinheiro para patrocinar uma caravana. Infelizmente, como muitos novatos na arte do comércio, ele não considerou que o benefício só vem em grandes riscos. Investiu todo o seu dinheiro nos produtos mais caros e... é claro, quando sua caravana foi capturada e saqueada, perdeu absolutamente tudo.
dlga_merchant_quest_4b2:merchant_quest_4b3|Consequentemente, ao que parece, nosso capitão sucumbiu à vilania para recuperar sua fortuna. Que o Céu me perdoe, mas acho que eu faria o mesmo se alguma vez tivesse que enfrentar o endividamento e a ruína. Agora, é verdade que qualquer capitão da guarda digno de seu salário deve ter alguns ladrões e pessoas de má reputação em sua lista, para informar sobre o resto, mas parece que nosso capitão decidiu empregar esses bastardos por atacado. Ele os traz para a cidade, deixa-os fazer o que quiserem, e obtém uma parte do negócio. Por sorte, ainda existem algumas almas corajosas em nossa valorosa guarda, que têm fornecido informações de como o capitão trabalha.
dlga_merchant_quest_4b3:merchant_quest_4b4|Então este é o meu plano. Eu poderia denunciar esta situação ao {s4}, o lorde da cidade, mas isso implicaria muitas perguntas, e seria a minha palavra contra a do capitão. As testemunhas podem ser compradas, as provas destruídas, o caso cairia no esquecimento se o inimigo cruzar nossas fronteiras e tudo o que eu obteria pela dificuldade seria uma faca entre as costelas. Em tempos de guerra, como bem sabe, os olhos do rei voltam-se para terras distantes, e quem sofre são seus súditos. Por isso, tenho uma outra ideia. Possuo um pequeno grupo de plebeus, alguns homens a meu serviço e alguns outros que perderam seus parentes nas mãos desses bandidos. Vamos buscar o capitão em sua própria casa e trazê-lo acorrentado.
dlga_merchant_quest_4b4:merchant_quest_4b5|Tudo o que preciso agora é que alguém lidere meu pequeno exército para a batalha, e eu não consigo pensar em ninguém melhor que você. Então, o que me diz?
dlga_merchant_quest_4b5:merchant_quest_4b6|Como saberei se está falando a verdade?
dlga_merchant_quest_4b6:merchant_quest_4b7|Oh, bem, suponho que você pode encontrar uma dúzia de malfeitores que estarão dispostos a dar suas vidas por este fim. Acho que você realmente não tem como saber se minha palavra é boa, mas acredito que entenderá que o meu dinheiro é bom... e há 100 Florins, ou talvez um pouco mais, esperando por você se me fizer este pequeno favor. O que me diz?
dlga_merchant_quest_4b7:merchant_quest_4b8|Perfeito. Liderarei seus homens.
dlga_merchant_quest_4b7:merchant_quest_4_decline|Sinto muito, mas isto está muito rápido. Preciso de um tempo para pensar.
dlga_merchant_quest_4b8:merchant_quest_4b9|Ótimo. Faz tempo que não embarcava em um negócio tão emocionante. Meus homens estão prontos para agir sob suas ordens. Está preparado?
dlga_merchant_quest_4b9:merchant_quest_4_accept|Sim. Dê a eles o sinal.
dlga_merchant_quest_4b9:merchant_quest_4_decline|Agora não. Vou precisar descansar um pouco antes de lutar novamente.
dlga_merchant_quest_4_accept:close_window|Esplêndido! Então golpeie forte, golpeie rápido, e o capitão e seus seguidores nem terão tempo de se perguntarem quem os atacou. Que os Céus estejam com você!
dlga_merchant_quest_4_decline:close_window|Certo. Eu posso manter meus homens esperando. No entanto, se você perder muito tempo, acho que serei obrigado a terminar essa tarefa sem você, embora prefira contar com seus serviços. Agora, tome o tempo que precisa.
dlga_merchant_quest_2a:close_window|Muito bem. Vamos caçar alguns bandidos.
dlga_merchant_quest_2a:merchant_quest_2a_whynotcome|Por que não vem conosco?
dlga_merchant_quest_2a_whynotcome:merchant_quest_2a|Porque estou lhe pagando para apenas você se ocupar disto. Essa é a resposta curta. A resposta longa é que tenho alguns assuntos aqui na cidade, e ao acompanhá-l{o/a} haveria muitas chances de eu acabar com a cabeça quebrada, se é o que quer saber. Mas respeito sua pergunta. Então, o que me diz?
dlga_merchant_quest_2a:close_window.1|Não posso me encarregar deste assunto no momento.
dlga_merchant_quest_3a:close_window|Está bem. Cuidarei dos bandidos em seu próprio covil e encontrarei seu irmão.
dlga_merchant_quest_3a:close_window.1|Não posso me encarregar deste assunto agora.
dlga_start:merchant_quest_persuasion|Claro que pode fazer o que quiser, {milorde/milady}, mas estou decepcionado. Você faria bem em reconsiderar sua decisão. Eu sou um homem rico, e mostraria minha gratidão com ouro.
dlga_merchant_quest_persuasion:merchant_quest_1_prologue_3|Você é um indivíduo convincente... vou lhe ajudar.
dlga_merchant_quest_persuasion:merchant_quest_2|Você é um indivíduo convincente... vou lhe ajudar.
dlga_merchant_quest_persuasion:merchant_quest_3|Você é um indivíduo convincente... vou lhe ajudar.
dlga_merchant_quest_persuasion:merchant_quest_4b8|Você é um indivíduo convincente... vou lhe ajudar.
dlga_merchant_quest_persuasion:close_window|Como eu disse, tenho coisas mais importantes a fazer em outros lugares.
dlga_merchant_quest_2:merchant_quest_2a|Agora... vá encontrar e derrotar este grupo de bandidos.
dlga_merchant_quest_3:merchant_quest_3a|Agora... invada o covil desses bandidos, traga meu irmão de volta, e ensine a esses bastardos o que acontece com aqueles que ameaçam minha família.
dlga_start:close_window.7|Oh... graças aos céus... graças aos céus... Estou seguro?
dlga_start:merchant_closing_statement_2|Ah... {playername}. As coisas não correram tão bem como o esperado. O {s5} não deixará passar minha pequena ruptura da paz em seus domínios. Oh, ele certamente está grato por eu ter me livrado de seu capitão desonesto, um guarda que deixa bandidos passarem também deixaria passar o exército inimigo se o preço fosse suficiente. Mesmo assim, não permitirá que eu continue vagando por aqui como um permanente lembrete da sua incapacidade para cuidar das coisas sozinho.
dlga_merchant_closing_statement_2:merchant_closing_statement_3|Isso não parece justo...
dlga_merchant_closing_statement_3:merchant_closing_statement_4|Justo? Esta é a Calradia, {meu garoto/minha garota}. Os reis fazem o que querem, e o resto de nós fazemos o que devemos. Sua majestade não condenou-me a passar o resto da minha vida algemado em seus calabouços. Em vez disso me permitiu vender minhas propriedades, e inclusive tem influenciado os outros mercadores a comprarem meus bens por um preço justo. Isso é o suficiente amigável, considerando como muitas vezes os monarcas atuam quando são minimamente ameaçados. Mas Sua Alteza é um rei fraco, como todos os outros em Calradia, e a primeira coisa que os reis fracos sempre buscam é consolidar sua autoridade, mesmo relegando a justiça a um segundo plano. Imagino que eu faria a mesma coisa em seu lugar.
dlga_merchant_closing_statement_4:close_window|De qualquer forma, eu não iria sair difundindo por aí este assunto nas próprias terras do {s5}... embora certamente sua majestade já tenha tomado nota de suas ações, e decidiu que não valia a pena puni-lo, o que já poderia ser motivo de comemoração... Além disso, ainda é possível que Sua Alteza Real pense em lhe confiar alguma tarefa, embora você também possa alugar sua espada para um dos seus concorrentes... Em todo o caso, espero que tenha aprendido um pouco sobre o que é preciso para se manter vivo nesta terra cheia de problemas, e também... espero que o dinheiro que ganhou não seja desperdiçado... Boa sorte.
